fullName,Player_learned_embedding,Total_Runs_Scored_per_match,Total_Runs_Scored_per_T20_match,strike_rate_Global,strike_rate_T20,avg_fours_per_T20_match,avg_sixes_per_T20_match,avg_fantasy_point_scored_in_T20_match,Balls_Played,Avg_Balls_Thrown_per_T20_match,avg_dot_balls_per_T20_match,avg_median_overs_per_T20_match,avg_run_conceded_per_T20,avg_wickets_taken_per_match,avg_economyRate_per_match,avg_fielding_FP,total_centuries,total_halftcenturies
Ambati Rayudu,,23.25133689839572,23.25133689839572,113.59550802139037,113.59550802139037,1.9197860962566844,0.9251336898395722,36.02577319587629,18.22994652406417,0.0,0.0,0.0,0.0,0.0,0.0,10.363636363636363,1.0,22.0
Amit Mishra,,6.684210526315789,6.684210526315789,86.8359649122807,86.8359649122807,0.543859649122807,0.08771929824561403,39.38509316770186,7.350877192982456,20.86335403726708,7.546583850931677,4.0,25.62111801242236,1.0745341614906831,7.553478260869564,8.846153846153847,0.0,0.0
Amit Paunikar,,9.8,9.8,65.55199999999999,65.55199999999999,1.8,0.0,17.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Amit Singh,,0.4,0.4,20.0,20.0,0.0,0.0,37.91304347826087,2.0,20.565217391304348,8.695652173913043,4.0,26.956521739130434,1.2173913043478262,8.07304347826087,8.0,0.0,0.0
Amit Uniyal,,2.0,2.0,33.33,33.33,0.0,0.0,31.0,3.5,18.0,4.5,3.0,33.0,1.0,11.375,0.0,0.0,0.0
Anand Rajan,,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,18.625,7.75,3.25,25.125,1.0,7.965,14.0,0.0,0.0
Andre Nel,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,18.0,7.0,3.0,31.0,1.0,10.33,0.0,0.0,0.0
Andre Russell,,23.5625,23.5625,145.21927083333333,145.21927083333333,1.5625,2.0104166666666665,58.89090909090909,13.541666666666666,15.520408163265307,5.591836734693878,3.0,23.989795918367346,0.9795918367346939,9.731734693877552,9.571428571428571,0.0,10.0
Andrew Flintoff,,20.666666666666668,20.666666666666668,122.56,122.56,1.6666666666666667,0.6666666666666666,55.666666666666664,17.666666666666668,22.0,7.0,4.0,35.0,0.6666666666666666,9.053333333333333,12.0,0.0,0.0
Andrew McDonald,,13.666666666666666,13.666666666666666,109.16666666666667,109.16666666666667,1.0,0.4444444444444444,51.5,11.11111111111111,18.6,5.2,3.5,26.1,1.1,8.408,0.0,0.0,0.0
