Season,Teams,Date,Stadium,Time
IPL 2009,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 34th match",N/A,"SuperSport Park, Centurion",
IPL 2009,"DELHI CAPITALS vs MUMBAI INDIANS, 35th match",N/A,"Buffalo Park, East London",
IPL 2009,"DECCAN CHARGERS vs PUNJAB KINGS, 36th match",N/A,"Diamond Oval, Kimberley",
IPL 2009,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 37th match",N/A,"Diamond Oval, Kimberley",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 38th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 39th match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 40th match",N/A,"Diamond Oval, Kimberley",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 41st match",N/A,"SuperSport Park, Centurion",
IPL 2009,"PUNJAB KINGS vs MUMBAI INDIANS, 42nd match",N/A,"SuperSport Park, Centurion",
IPL 2009,"DECCAN CHARGERS vs DELHI CAPITALS, 43rd match",N/A,"Kingsmead, Durban",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 44th match",N/A,"Kingsmead, Durban",
IPL 2009,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 45th match",N/A,"Kingsmead, Durban",
IPL 2009,"DELHI CAPITALS vs PUNJAB KINGS, 46th match",N/A,"Mangaung Oval, Bloemfontein",
IPL 2009,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 47th match",N/A,"St George's Park, Gqeberha",
IPL 2009,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 48th match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"DECCAN CHARGERS vs PUNJAB KINGS, 49th match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"DELHI CAPITALS vs RAJASTHAN ROYALS, 50th match",N/A,"Mangaung Oval, Bloemfontein",
IPL 2009,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 51st match",N/A,"SuperSport Park, Centurion",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 52nd match",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 53rd match",N/A,"Kingsmead, Durban",
IPL 2009,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 54th match",N/A,"Kingsmead, Durban",
IPL 2009,"DELHI CAPITALS vs MUMBAI INDIANS, 55th match",N/A,"SuperSport Park, Centurion",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 56th match",N/A,"SuperSport Park, Centurion",
IPL 2009,"DELHI CAPITALS vs DECCAN CHARGERS, 1st Semi-Final",N/A,"SuperSport Park, Centurion",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 2nd Semi-Final",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, Final",N/A,"The Wanderers Stadium, Johannesburg",
IPL 2009,The Times of India,N/A,N/A,N/A
IPL 2009,The Times of India,N/A,N/A,N/A
IPL 2010,N/A,N/A,N/A,N/A
IPL 2010,N/A,N/A,N/A,N/A
IPL 2010,N/A,N/A,60 T20s   .  Mar 13  - Apr 24,N/A
IPL 2010,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 1st match",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,N/A,N/A,N/A,N/A
IPL 2010,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 1st match",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 2nd match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"PUNJAB KINGS vs DELHI CAPITALS, 3rd match",N/A,"Punjab Cricket Association IS Bindra Stadium, Mohali",
IPL 2010,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 4th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 5th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"RAJASTHAN ROYALS vs DELHI CAPITALS, 6th match",N/A,"Narendra Modi Stadium, Ahmedabad",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 7th match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 8th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"DELHI CAPITALS vs MUMBAI INDIANS, 9th match",N/A,"Arun Jaitley Stadium, Delhi",
