venue_id,venue_long,venue_lat,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
1125,0,0,"Sportpark Maarschalkerweerd, Utrecht",9,1007,100,36,50,7
757,149.134583,-35.317909,"Manuka Oval, Canberra",32,4620,379,79,242,26
3404,0,0,Perth Stadium,48,7033,611,85,429,28
1694,0,0,"Kyambogo Cricket Oval, Kampala",6,602,68,21,31,7
601,0,0,"Lugogo Cricket Oval, Kampala",3,348,45,11,26,3
2389,,,"King George V Sports Ground, Castel",22,2608,285,66,162,22
2388,,,"College Field, St Peter Port",6,707,77,22,44,3
302,31.027794,-29.850071,"Kingsmead, Durban",75,9994,980,153,636,66
173,25.609888,-33.966995,"St George's Park, Port Elizabeth",64,8633,783,181,428,60
2072,,,"Kinrara Academy Oval, Kuala Lumpur",18,2378,217,52,123,17
1015,76.737442,30.691059,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",74,11562,847,151,519,56
1981,78.550468,17.406828,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",80,12149,932,148,598,63
93,172.619293,-43.53418,"Hagley Oval, Christchurch",11,1608,127,14,97,6
1986,-58.17807,6.757869,"Providence Stadium, Guyana",70,8956,848,190,452,103
2474,0,0,"Indian Association Ground, Singapore",19,2623,238,43,160,12
2536,0,0,"Sportpark Westvliet, The Hague",16,2071,215,54,120,21
2503,80.722115,7.280079,Pallekele International Cricket Stadium,26,3889,328,81,173,33
1931,91.767563,22.355932,"Zahur Ahmed Chowdhury Stadium, Chattogram",123,18165,1599,303,940,105
3494,0,0,"White Hill Field, Sandys Parish",13,1491,173,49,93,12
674,,,"National Stadium, Hamilton",11,1128,154,25,89,13
1696,0,0,"United Cricket Club Ground, Windhoek",19,2381,217,35,138,17
2593,0,0,"ICC Academy Ground No 2, Dubai",14,1872,173,34,98,12
2714,0,0,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",18,2052,235,51,125,12
2697,0,0,La Manga Club Bottom Ground,10,828,99,34,50,7
2677,73.706413,18.673712,"Maharashtra Cricket Association Stadium, Pune",56,8186,702,108,439,45
1131,-61.752132,12.059683,"National Cricket Stadium, St George's, Grenada",10,1566,127,16,98,8
3516,0,0,"Desert Springs Cricket Ground, Almeria",29,3177,396,81,199,29
1939,0,0,"Tribhuvan University International Cricket Ground, Kirtipur",34,4946,434,80,265,38
3463,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),23,3000,314,58,170,41
2585,0,0,"Terdthai Cricket Ground, Bangkok",49,4711,596,134,292,51
3541,0,0,Pierre Werner Cricket Ground,3,394,37,6,26,5
1001,73.075829,33.651478,Rawalpindi Cricket Stadium,8,921,68,13,43,3
769,170.525711,-45.866241,"University Oval, Dunedin",3,530,39,5,32,0
3495,0,0,"Moara Vlasiei Cricket Ground, Ilfov County",22,2922,301,77,164,21
1031,18.997892,-33.739555,"Boland Park, Paarl",17,2501,194,46,120,10
34,-1.133192,52.936855,"Trent Bridge, Nottingham",93,13884,1152,226,776,65
179,-1.58245,53.818287,"Headingley, Leeds",72,11383,930,137,658,50
840,72.597198,23.091478,"Narendra Modi Stadium, Ahmedabad",49,7540,583,94,375,26
1409,0,0,"Civil Service Cricket Club, Stormont, Belfast",16,1763,213,40,125,18
1675,0,0,"Coolidge Cricket Ground, Antigua",11,1340,143,38,68,12
1695,17.089266,-22.568577,"Wanderers Cricket Ground, Windhoek",37,4154,404,98,235,38
3545,0,0,"Scott Page Field, Vinor",13,1746,146,35,82,11
3548,0,0,"National Sports Academy, Sofia",16,2045,197,53,95,15
1870,,,Marsa Sports Club,54,7412,678,129,398,53
3562,0,0,Bayer Uerdingen Cricket Ground,35,4186,537,65,335,24
613,0,0,"Castle Avenue, Dublin",8,1207,92,22,53,5
1988,,,"Svanholm Park, Brondby",11,1264,148,28,83,15
3567,0,0,Gucherre Cricket Ground,6,855,66,18,34,5
3439,0,0,"Gahanga International Cricket Stadium, Rwanda",113,12607,1498,384,770,139
3491,0,0,Kerava National Cricket Ground,30,3462,395,60,247,19
848,55.421043,25.331009,Sharjah Cricket Stadium,52,7187,641,144,355,55
2646,0,0,Entebbe Cricket Oval,8,943,106,30,50,6
664,75.803436,26.894014,"Sawai Mansingh Stadium, Jaipur",80,11118,902,176,537,57
1920,76.325928,32.197868,"Himachal Pradesh Cricket Association Stadium, Dharamsala",22,3195,262,48,158,17
3572,0,0,Happy Valley Ground,13,1641,172,31,108,9
3571,0,0,Integrated Polytechnic Regional Centre,34,3130,419,154,158,46
3574,0,0,University of Lagos Cricket Oval,5,422,76,24,38,6
2927,0,0,"West End Park International Cricket Stadium, Doha",39,5013,518,110,269,40
1985,-61.78495,17.103361,"Sir Vivian Richards Stadium, North Sound, Antigua",29,3586,355,72,202,26
261,28.588896,-20.144848,"Queens Sports Club, Bulawayo",20,2512,284,69,131,37
629,-61.384655,15.302065,"Windsor Park, Roseau, Dominica",4,470,47,8,33,3
2041,0,0,"Brian Lara Stadium, Tarouba, Trinidad",51,6570,618,105,418,47
3601,0,0,"Meersen, Gent",5,564,67,9,35,6
2471,0,0,"Royal Brussels Cricket Club Ground, Waterloo",10,1356,146,32,87,6
3602,0,0,Tikkurila Cricket Ground,21,2256,342,107,155,30
459,28.593288,-20.165104,Bulawayo Athletic Club,9,1185,119,27,59,19
3413,0,0,"UKM-YSD Cricket Oval, Bangi",38,3494,453,96,240,48
1653,168.738525,-45.016167,"John Davies Oval, Queenstown",1,169,12,1,8,0
3603,0,0,Lisicji Jarak Cricket Ground,3,411,39,11,20,2
700,0,0,"Gymkhana Club Ground, Nairobi",30,3278,429,94,227,28
