Match_number,team1,team2,Date,Time,Venue
49,Chennai Super Kings,Punjab Kings,Apr 30,02:00 PM GMT / 07:30 PM LOCAL,MA Chidambaram Stadium, Chennai
50,Rajasthan Royals,Mumbai Indians,May 01,02:00 PM GMT / 07:30 PM LOCAL,Sawai Mansingh Stadium, Jaipur
51,Gujarat Titans,Sunrisers Hyderabad,May 02,02:00 PM GMT / 07:30 PM LOCAL,Narendra Modi Stadium, Ahmedabad
52,Royal Challengers Bengaluru,Chennai Super Kings,May 03,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
53,Kolkata Knight Riders,Rajasthan Royals,May 04,10:00 AM GMT / 03:30 PM LOCAL,Eden Gardens, Kolkata
54,Punjab Kings,Lucknow Super Giants,May 04,02:00 PM GMT / 07:30 PM LOCAL,HPCA Cricket Stadium, Dharamshala
55,Sunrisers Hyderabad,Delhi Capitals,May 05,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
56,Mumbai Indians,Gujarat Titans,May 06,02:00 PM GMT / 07:30 PM LOCAL,Wankhede Stadium, Mumbai
57,Kolkata Knight Riders,Chennai Super Kings,May 07,02:00 PM GMT / 07:30 PM LOCAL,Eden Gardens, Kolkata
58,Punjab Kings,Delhi Capitals,May 08,02:00 PM GMT / 07:30 PM LOCAL,HPCA Cricket Stadium, Dharamshala
59,Lucknow Super Giants,Royal Challengers Bengaluru,May 09,02:00 PM GMT / 07:30 PM LOCAL,BRSABV Ekana Cricket Stadium, Lucknow
60,Sunrisers Hyderabad,Kolkata Knight Riders,May 10,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
61,Punjab Kings,Mumbai Indians,May 11,10:00 AM GMT / 03:30 PM LOCAL,HPCA Cricket Stadium, Dharamshala
62,Delhi Capitals,Gujarat Titans,May 11,02:00 PM GMT / 07:30 PM LOCAL,Arun Jaitley Stadium, Delhi
63,Chennai Super Kings,Rajasthan Royals,May 12,02:00 PM GMT / 07:30 PM LOCAL,MA Chidambaram Stadium, Chennai
64,Royal Challengers Bengaluru,Sunrisers Hyderabad,May 13,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
65,Gujarat Titans,Lucknow Super Giants,May 14,02:00 PM GMT / 07:30 PM LOCAL,Narendra Modi Stadium, Ahmedabad
66,Mumbai Indians,Delhi Capitals,May 15,02:00 PM GMT / 07:30 PM LOCAL,Wankhede Stadium, Mumbai
67,Rajasthan Royals,Punjab Kings,May 16,02:00 PM GMT / 07:30 PM LOCAL,Sawai Mansingh Stadium, Jaipur
68,Royal Challengers Bengaluru,Kolkata Knight Riders,May 17,02:00 PM GMT / 07:30 PM LOCAL,M Chinnaswamy Stadium, Bengaluru
69,Gujarat Titans,Chennai Super Kings,May 18,10:00 AM GMT / 03:30 PM LOCAL,Narendra Modi Stadium, Ahmedabad
70,Lucknow Super Giants,Sunrisers Hyderabad,May 18,02:00 PM GMT / 07:30 PM LOCAL,BRSABV Ekana Cricket Stadium, Lucknow
71,,,May 20,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
72,,,May 21,02:00 PM GMT / 07:30 PM LOCAL,Rajiv Gandhi International Cricket Stadium, Hyderabad
73,,,May 23,02:00 PM GMT / 07:30 PM LOCAL,Eden Gardens, Kolkata
74,,,May 25,02:00 PM GMT / 07:30 PM LOCAL,Eden Gardens, Kolkata
