player_id,name,matches,strike rate in all matches combined,Total Runs Scored in all matches combined,no. of fours,no. of sixes,highest runs scored in a match,Balls Played till now,no. of dot_balls,maiden_overs,run conceded,Average Economy Rate,no. of wickets,no. of balls thrown,highest wickets taken in a match,total centuries,total halfcenturies,total catches,total stumps,total direct_runouts,total indirect_runouts,total avg fp
c4487b84,AB de Villiers,65,122.185,1458,121,51,79,1061,0,0,0,0.0,0,0,0,0,8,51,6,1,10,46.217
e798611a,HM Amla,43,115.152,1272,145,26,97,960,0,0,0,0.0,0,0,0,0,8,19,0,0,1,54.558
fb66ce1f,CH Morris,22,91.185,133,12,5,55,102,192,3,684,8.623,30,474,3,0,1,6,0,0,4,61.409
acee4cc4,Imran Tahir,37,,19,1,1,9,18,281,0,937,7.033,61,827,5,0,0,7,0,0,2,59.488
9a46c4e5,GD Phillips,81,129.284,1911,136,91,108,1345,49,0,159,0.0,6,128,3,2,12,50,2,1,1,48.418
3a60e0b5,WD Parnell,56,97.802,174,13,4,29,179,428,4,1538,8.74,59,1094,5,0,0,7,0,2,1,43.911
3355b542,F du Plessis,49,124.964,1487,133,49,119,1104,5,0,3,0.0,0,8,0,1,11,24,0,0,1,55.999
ab6b1c45,AL Phehlukwayo,42,,166,16,5,27,150,245,0,1127,9.139,50,748,4,0,0,9,0,0,2,46.786
462d7c62,D Paterson,8,,5,1,0,4,2,68,0,269,8.896,9,179,4,0,0,1,0,1,0,46.251
2e8994e7,JP Duminy,74,117.961,1798,127,65,96,1426,149,0,607,0.0,21,463,3,0,11,29,0,0,0,52.998
372455c4,Q de Kock,90,0.0,2534,257,101,100,1814,0,0,0,0.0,0,0,0,1,17,80,17,2,9,61.063
13c35c9e,TG Southee,123,126.171,290,18,18,39,204,1110,6,3756,8.35,161,2715,5,0,0,64,0,1,4,53.342
dce2019b,F Behardien,38,127.251,518,37,16,64,403,11,0,27,0.0,3,30,2,0,1,14,0,0,1,27.526
4a461c24,LA Dawson,11,,57,8,2,34,35,64,0,243,7.864,6,204,3,0,0,2,0,0,0,33.909
d67d5f00,DA Miller,128,128.761,2585,167,130,106,1828,0,0,0,0.0,0,0,0,2,11,82,1,5,5,40.664
a03bba42,T Shamsi,69,,10,0,0,4,27,539,1,1873,7.839,86,1498,5,0,0,12,0,0,0,45.201
11614d87,D Pretorius,30,,261,22,15,77,159,153,0,702,8.447,35,504,5,0,1,6,0,0,0,54.3
99b75528,JC Buttler,131,,3497,316,152,101,2367,0,0,0,0.0,0,0,0,1,27,75,13,5,16,54.557
f0a0204e,MS Crane,2,,0,0,0,0,0,16,0,62,7.75,1,48,1,0,0,0,0,0,0,21.5
8d92a2c3,MA Wood,37,,27,2,0,10,27,325,0,1095,8.817,52,752,3,0,0,5,0,0,1,49.081
7f048519,DJ Willey,42,,206,15,11,33,156,342,1,1202,8.739,49,841,4,0,0,17,0,1,0,52.832
42172c3c,JT Smuts,13,0.0,174,18,6,45,165,42,0,181,9.304,1,136,1,0,0,1,0,0,0,28.693
d1c36f5c,JJ Roy,63,120.445,1517,152,70,78,1099,0,0,0,0.0,0,0,0,0,8,19,0,0,3,46.177
ffe699c0,CJ Jordan,94,,424,29,21,36,322,684,2,2874,9.11,109,1941,4,0,0,47,0,2,5,51.479
8836fcac,M Mosehle,7,,105,6,9,36,65,0,0,0,0.0,0,0,0,0,0,6,2,0,1,39.857
abb83e27,JM Bairstow,79,122.791,1667,147,76,90,1207,0,0,0,0.0,0,0,0,0,11,45,1,0,4,42.568
d2a6c0e6,EJG Morgan,113,,2443,185,120,91,1781,0,0,0,0.0,0,0,0,0,14,45,0,3,5,41.336
b8cc58c9,RR Hendricks,77,113.97,2242,247,62,117,1695,10,0,62,0.0,0,29,0,1,18,32,0,0,0,54.128
c16d4035,SW Billings,37,,478,41,16,87,366,0,0,0,0.0,0,0,0,0,2,17,2,1,1,26.326
92aeac25,AD Hales,73,119.308,2024,220,69,116,1442,0,0,0,0.0,0,0,0,1,13,38,0,0,1,53.727
e86754b2,TK Curran,30,,64,1,4,14,56,191,1,913,9.347,29,588,4,0,0,8,0,0,0,37.399
5bb5a915,M Morkel,37,0.0,21,3,1,8,15,363,2,1045,8.008,33,790,2,0,0,5,0,2,1,38.729
9a963804,LE Plunkett,20,,42,3,1,18,34,169,0,589,8.559,24,428,3,0,0,7,0,0,0,45.75
50c6bc2b,LS Livingstone,59,135.195,926,51,59,103,618,191,1,842,0.0,33,576,3,1,3,24,0,0,3,50.0
ad9c32a2,DJ Malan,61,115.771,1874,194,62,103,1396,2,0,27,0.0,1,12,1,1,17,21,0,0,0,57.164
650d5e49,R Powell,87,123.893,1719,98,115,107,1218,21,0,201,0.0,4,113,2,1,9,42,0,0,3,40.415
0ebfb1ad,E Lewis,54,123.006,1467,113,113,125,917,0,0,0,0.0,0,0,0,2,13,14,0,0,3,55.277
a343262c,JE Root,31,108.391,881,91,15,90,696,30,0,141,11.333,6,84,2,0,5,16,0,0,0,56.937
a757b0d8,KA Pollard,98,126.753,1519,91,98,75,1110,243,0,1152,9.215,39,814,4,0,6,39,0,0,1,43.542
78cb83f3,KOK Williams,20,79.142,19,1,1,13,17,131,1,689,10.607,25,416,4,0,0,5,0,1,0,44.35
249d60c9,AU Rashid,122,86.122,155,12,1,22,175,921,1,3173,7.791,129,2558,4,0,0,34,0,1,1,41.712
9d430b40,SP Narine,48,113.43,155,13,5,30,137,448,1,1053,6.206,48,1036,4,0,0,5,0,0,2,46.271
4180d897,JE Taylor,24,140.69,111,10,5,21,87,192,1,740,9.486,23,480,3,0,0,7,0,1,1,45.083
bbff906c,CAK Walton,16,77.054,174,14,10,40,169,0,0,0,0.0,0,0,0,0,0,9,2,0,1,24.625
db584dad,CH Gayle,74,115.955,1739,141,117,100,1265,104,0,393,0.0,18,330,2,1,14,18,0,0,0,54.147
f846de6a,MN Samuels,57,104.882,1338,123,53,85,1179,147,0,512,0.0,20,413,3,0,8,11,0,0,1,54.438
e342e5fb,CR Brathwaite,37,109.85,289,13,19,37,261,211,1,976,9.337,27,649,3,0,0,18,0,1,0,42.243
4a745f65,AR Nurse,13,138.632,85,7,3,20,70,70,0,320,7.91,8,240,2,0,0,6,0,0,0,35.154
1dc12ab9,SK Raina,75,119.09,1546,138,57,101,1136,108,0,449,8.221,13,349,2,1,6,39,0,1,4,47.161
96fd40ae,A Nehra,26,,28,1,2,22,39,240,0,760,8.193,31,564,3,0,0,3,0,1,2,45.114
ba607b88,V Kohli,118,120.681,3969,349,115,94,2897,44,0,206,0.0,4,152,1,0,37,51,0,1,3,61.534
245c97cb,TS Mills,16,,8,0,1,7,12,117,1,487,9.686,14,322,3,0,0,2,0,0,2,33.312
bb351c23,MM Ali,90,,1180,84,67,72,817,330,1,1375,8.741,50,987,3,0,7,21,0,2,3,44.621
e087956b,BA Stokes,41,133.458,576,41,22,52,444,194,1,823,8.933,23,570,3,0,1,20,0,1,5,47.78
1c914163,Yuvraj Singh,49,114.238,957,67,57,77,720,133,0,437,0.0,24,376,3,0,6,10,0,1,0,53.304
9170ff49,Parvez Rasool,1,83.33,5,0,0,5,6,6,0,32,8.0,1,24,1,0,0,0,0,0,0,36.0
dbe50b21,HH Pandya,112,139.775,1745,128,91,71,1234,690,3,2497,8.694,94,1793,4,0,5,52,0,1,1,60.293
6b19d823,A Mishra,10,,0,0,0,0,0,96,1,243,6.482,16,228,3,0,0,1,0,0,0,58.2
919a3be2,RR Pant,72,110.226,1142,103,41,65,906,0,0,0,0.0,0,0,0,0,3,37,11,0,9,33.724
29e95537,AM Rahane,20,100.706,375,32,6,61,331,0,0,0,0.0,0,0,0,0,1,16,0,0,0,35.549
8cf9814c,Mohammed Shami,24,,7,0,1,7,10,197,1,737,9.228,24,486,3,0,0,1,0,0,1,37.001
bbd41817,AD Russell,81,141.935,1053,63,89,71,632,408,0,1811,9.857,57,1153,3,0,3,20,0,3,2,51.134
fe93fd9d,RA Jadeja,71,,508,38,14,46,397,511,2,1579,7.693,51,1296,3,0,0,24,0,2,7,43.042
1bae756b,ADS Fletcher,59,,973,65,53,84,874,0,0,0,0.0,0,0,0,0,6,23,3,2,5,32.22
2e81a32d,B Kumar,86,,67,0,0,16,94,871,8,2132,7.091,85,1767,5,0,0,15,0,1,2,42.802
740742ef,RG Sharma,147,120.522,3946,354,192,118,2794,10,0,105,0.0,1,62,1,4,34,58,0,1,3,52.118
87e562a9,DJ Bravo,83,106.808,1181,70,52,66,1018,433,0,1932,8.362,76,1419,4,0,4,40,0,6,1,57.854
