venue_name,city,venue_lat,venue_long
"Yeonhui Cricket Ground, Incheon",Incheon,0.0,0.0
"Civil Service Cricket Club, Stormont, Belfast",Belfast,0.0,0.0
"Bready Cricket Club, Magheramason, Bready",Londonderry,0.0,0.0
"New Williamfield No1 Oval, Stirling",Stirling,0.0,0.0
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,0.0,0.0
"Goldenacre, Edinburgh",Edinburgh,0.0,0.0
"Clontarf Cricket Club Ground, Dublin",Dublin,0.0,0.0
"Queen's Park, Chesterfield",Chesterfield,0.0,0.0
"Old Deer Park, Richmond",Richmond,0.0,0.0
"Radlett Cricket Club, Radlett",Radlett,0.0,0.0
"Merchant Taylors' School Ground, Northwood",Northwood,0.0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",,0.0,0.0
"Dr PVG Raju ACA Sports Complex, Vizianagaram",,0.0,0.0
"Devineni Venkata Ramana Praneetha Ground, Mulapadu",,0.0,0.0
"Chukkapalli Pitchaiah Cricket Ground, Mulapadu",,0.0,0.0
"Lalabhai Contractor Stadium, Surat",,0.0,0.0
"CB Patel International Cricket Stadium, Surat",,0.0,0.0
"Emerald High School Ground, Indore",,0.0,0.0
"DRIEMS Ground, Tangi, Cuttack",,0.0,0.0
"Palam A Ground, Model Sports Complex, Delhi",,0.0,0.0
"Palam B Ground, Model Sports Complex, Delhi",,0.0,0.0
"St Xavier's College Ground, Thumba",,0.0,0.0
"Greenfield International Stadium, Thiruvananthapuram",,0.0,0.0
Government Model Senior Secondary School,,0.0,0.0
"Bandra Kurla Complex, Mumbai",,0.0,0.0
"KSCA Cricket (2) Ground, Alur",,0.0,0.0
"KSCA Cricket (3) Ground, Alur",,0.0,0.0
"Jadavpur University Complex, Kolkata",,0.0,0.0
"F.B. Colony Ground, Vadodara",,0.0,0.0
"Sri Sivasubramaniya Nadar College of Engineering Ground, Chennai",,0.0,0.0
"India Cement Limited Guru Nanak College Ground, Chennai",,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,0.0,0.0
Ekana Cricket Stadium B Ground,,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",,0.0,0.0
"Gurgaon Cricket Ground (SRNCC), Sultanpur",,0.0,0.0
"CH Bansi Lal Cricket Stadium, Lahli, Rohtak",,0.0,0.0
"Andhra Cricket Assocition Grounds, Mulapadu",,0.0,0.0
"Andhra Cricket Association Stadium, Mangalagiri",,0.0,0.0
"Abhimanyu Cricket Academy, Dehradun",Dehra Dun,0.0,0.0
"St Paul's College Ground, Kochi",,0.0,0.0
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,0.0,0.0
"Ekana International Cricket Stadium, Lucknow",Lucknow,0.0,0.0
"Bready Cricket Club, Magheramason, Bready",Bready,0.0,0.0
"Bready Cricket Club, Magheramason, Bready",Derry,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,0.0,0.0
"Amini Park, Port Moresby",Port Moresby,0.0,0.0
"Kyambogo Cricket Oval, Kampala",Kampala,0.0,0.0
"Lugogo Cricket Oval, Kampala",Kampala,0.0,0.0
"Indian Association Ground, Singapore",Singapore,0.0,0.0
"Sportpark Westvliet, The Hague",The Hague,0.0,0.0
"White Hill Field, Sandys Parish",Hamilton,0.0,0.0
"United Cricket Club Ground, Windhoek",Windhoek,0.0,0.0
La Manga Club Bottom Ground,Murcia,0.0,0.0
"Desert Springs Cricket Ground, Almeria",Almeria,0.0,0.0
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,0.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,0.0,0.0
"Terdthai Cricket Ground, Bangkok",Bangkok,0.0,0.0
Pierre Werner Cricket Ground,Walferdange,0.0,0.0
"Moara Vlasiei Cricket Ground, Ilfov County",,0.0,0.0
"Coolidge Cricket Ground, Antigua",Coolidge,0.0,0.0
"Scott Page Field, Vinor",Prague,0.0,0.0
"National Sports Academy, Sofia",Sofia,0.0,0.0
Bayer Uerdingen Cricket Ground,Krefeld,0.0,0.0
"Castle Avenue, Dublin",Dublin,0.0,0.0
Gucherre Cricket Ground,Albergaria,0.0,0.0
"Gahanga International Cricket Stadium, Rwanda",Kigali City,0.0,0.0
Kerava National Cricket Ground,Kerava,0.0,0.0
Entebbe Cricket Oval,Entebbe,0.0,0.0
Happy Valley Ground,Episkopi,0.0,0.0
Gahanga International Cricket Stadium. Rwanda,Kigali City,0.0,0.0
Integrated Polytechnic Regional Centre,Kigali City,0.0,0.0
University of Lagos Cricket Oval,Lagos,0.0,0.0
"West End Park International Cricket Stadium, Doha",Doha,0.0,0.0
"Meersen, Gent",Ghent,0.0,0.0
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,0.0,0.0
Tikkurila Cricket Ground,Vantaa,0.0,0.0
Lisicji Jarak Cricket Ground,Belgrade,0.0,0.0
Vanuatu Cricket Ground,Port Vila,0.0,0.0
Sano International Cricket Ground,Sano,0.0,0.0
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,0.0,0.0
Santarem Cricket Ground,Albergaria,0.0,0.0
Europa Sports Complex,Gibraltar,0.0,0.0
"Solvangs Park, Glostrup",Copenhagen,0.0,0.0
"GB Oval, Szodliget",Szodliget,0.0,0.0
Zhejiang University of Technology Cricket Field,Hangzhou,0.0,0.0
Mulpani Cricket Ground,Kathmandu,0.0,0.0
Udayana Cricket Ground,Bali,0.0,0.0
"Nassau County International Cricket Stadium, New York",New York,0.0,0.0
University of Doha for Science and Technology,Doha,0.0,0.0
"Achimota Senior Secondary School A Field, Accra",Accra,0.0,0.0
"Achimota Senior Secondary School B Field, Accra",Accra,0.0,0.0
Prairie View Cricket Complex,Houston,0.0,0.0
La Manga Club Top Ground,Murcia,0.0,0.0
Los Reyes Polo Club,Guacima,0.0,0.0
Dreux Sport Cricket Club,Dreux,0.0,0.0
Roma Cricket Ground,Spinaceto,0.0,0.0
"Simar Cricket Ground, Rome",Rome,0.0,0.0
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,0.0,0.0
"Sikh Union Club Ground, Nairobi",Nairobi,0.0,0.0
"Mladost Cricket Ground, Zagreb",Zagreb,0.0,0.0
"Faleata Oval No 2, Apia",Apia,0.0,0.0
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,0.0,0.0
"YSD-UKM Cricket Oval, Bangi",Bangi,0.0,0.0
Sao Fernando Polo and Cricket Club,Seropedica,0.0,0.0
Gelephu International Cricket Ground,Gelephu,0.0,0.0
"TCA Oval, Blantyre",Blantyre,0.0,0.0
"Nigeria Cricket Federation Oval 1, Abuja",Lagos,0.0,0.0
"Nigeria Cricket Federation Oval 2, Abuja",Lagos,0.0,0.0
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,0.0,0.0
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,0.0,0.0
Singapore National Cricket Ground,Singapore,0.0,0.0
"Shere Bangla National Stadium, Mirpur",Mirpur,0.0,0.0
