match_id,venue_name,city,venue_lat,venue_long
1296688,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296689,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296690,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296691,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296692,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296701,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296702,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296711,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296712,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296713,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296714,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296715,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296716,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296717,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1296718,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351052,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351053,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351054,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351055,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351056,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351057,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351058,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351059,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351072,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351073,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351074,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351075,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351084,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351085,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351086,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351087,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351088,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351089,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351090,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351091,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351092,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351093,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351094,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351095,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351096,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1351097,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412274,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412275,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412276,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412277,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412278,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412279,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412281,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412294,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412295,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412296,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412297,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412298,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412299,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412300,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412301,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412314,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412315,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412316,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412317,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412318,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1412319,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459537,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459538,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459539,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459540,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459541,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459542,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459543,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459544,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459569,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459570,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459571,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459572,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459573,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459574,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459575,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459576,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459577,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459578,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459579,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459580,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459581,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
1459582,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551048,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551049,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551053,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551054,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551057,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551067,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551068,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551070,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551071,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551073,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
551077,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599865,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599866,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599867,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599869,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599870,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599889,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599890,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599892,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599893,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599894,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599895,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599897,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599898,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599899,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599900,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599901,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599902,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599903,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599904,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599905,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599906,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599907,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
599910,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
605286,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935285,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935289,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935291,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935293,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935295,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935297,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935299,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935301,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
935303,"Shere Bangla National Stadium, Mirpur",Dhaka,0.0,0.0
