,Credits,Player Type,Player Name,Team,key_cricinfo,identifier,unique_name
148,8.0,ALL,Marco Jansen,PBKS,696401,81c36ee9,M Jansen
149,7.5,BAT,Nehal Wadhera,PBKS,1151273,d1a60072,N Wadhera
150,7.5,WK,Prabhsimran Singh,PBKS,1161024,9418198b,P Simran Singh
151,7.0,ALL,Aaron Hardie,PBKS,1124283,d405c0d5,AM Hardie
152,8.5,BOWL,Arshdeep Singh,PBKS,1125976,244048f6,Arshdeep Singh
153,7.5,ALL,Azmatullah Omarzai,PBKS,819429,8f6dd463,Azmatullah Omarzai
154,6.5,WK,Vishnu Vinod,PBKS,732293,0494fa6e,Vishnu Vinod
155,6.5,BOWL,Xavier Bartlett,PBKS,1050545,3b53243a,XC Bartlett
156,7.5,BAT,Shashank Singh,PBKS,377534,26989d80,Shashank Singh
157,7.5,BOWL,Lockie Ferguson,PBKS,493773,2f9d0389,LH Ferguson
158,7.5,WK,Josh Inglis,PBKS,662235,989889ff,JP Inglis
159,7.0,BOWL,Vyshak Vijaykumar,PBKS,777815,54e52590,Vijaykumar Vyshak
160,6.0,BOWL,Pravin Dubey,PBKS,777515,ed5a5510,P Dubey
161,6.5,BOWL,Yash Thakur,PBKS,1070196,4b31f3a3,Yash Thakur
162,8.5,BAT,Shreyas Iyer,PBKS,642519,85ec8e33,SS Iyer
163,8.0,ALL,Marcus Stoinis,PBKS,325012,d9273ee7,MP Stoinis
164,8.5,BOWL,Yuzvendra Chahal,PBKS,430246,57ee1fde,YS Chahal
165,8.5,ALL,Glenn Maxwell,PBKS,325026,b681e71e,GJ Maxwell
166,5.0,BOWL,Abhinandan Singh,RCB,1449085,,
167,5.5,BAT,Swastik Chikara,RCB,1403198,,
168,6.0,ALL,Mohit Rathee,RCB,1349361,9a5f2863,Mohit Rathee
169,6.0,BOWL,Suyash Sharma,RCB,1350792,9440ef41,Suyash Sharma
170,7.0,BAT,Jacob Bethell,RCB,1194959,3c55c703,JG Bethell
171,6.5,BOWL,Rasikh Salam,RCB,1161489,b8527c3d,Rasikh Salam
172,7.0,BOWL,Yash Dayal,RCB,1159720,7210d461,Yash Dayal
173,6.5,ALL,Manoj Bhandage,RCB,1057399,e96801ea,MS Bhandage
174,7.5,BOWL,Nuwan Thushara,RCB,955235,ee1b6c27,N Thushara
175,7.0,ALL,Romario Shepherd,RCB,677077,c5aef772,R Shepherd
176,7.5,BAT,Tim David,RCB,892749,f1f99156,TH David
177,7.0,BAT,Devdutt Padikkal,RCB,1119026,2c25d4f5,D Padikkal
178,7.5,ALL,Krunal Pandya,RCB,471342,5b8c830e,KH Pandya
179,8.0,BAT,Rajat Patidar,RCB,823703,c740ea83,RM Patidar
180,7.5,WK,Jitesh Sharma,RCB,721867,800d2d97,JM Sharma
181,7.5,BOWL,Lungi Ngidi,RCB,542023,f834dcfc,L Ngidi
182,8.5,WK,Philip Salt,RCB,669365,3d284ca3,PD Salt
183,8.0,ALL,Liam Livingstone,RCB,403902,50c6bc2b,LS Livingstone
184,8.5,BOWL,Josh Hazlewood,RCB,288284,03806cf8,JR Hazlewood
185,8.0,BOWL,Bhuvneshwar Kumar,RCB,326016,2e81a32d,B Kumar
186,7.0,ALL,Swapnil Singh,RCB,232292,983f2f61,Swapnil Singh
187,9.0,BAT,Virat Kohli,RCB,253802,ba607b88,V Kohli
188,5.0,BAT,Vaibhav Suryavanshi,RR,1408688,,
189,5.0,BOWL,Ashok Sharma,RR,1299879,,
190,6.0,BOWL,Kwena Maphaka,RR,1294342,107c26fb,KT Maphaka
191,5.0,WK,Kunal Singh Rathore,RR,1339031,e3851766,KS Rathore
192,7.0,BOWL,Akash Madhwal,RR,1206039,4bd09374,Akash Madhwal
193,5.5,BAT,Shubham Dubey,RR,1252585,6b2ff18f,SB Dubey
194,6.5,ALL,Yudhvir Singh Charak,RR,1206052,4885bbe6,Yudhvir Singh
195,7.5,BOWL,Maheesh Theekshana,RR,1138316,f24c6701,M Theekshana
