,match_id,venue_id,venue_name,venue_lat,venue_long,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
103,1152536,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
104,1152537,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
105,1152538,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
106,1152539,1344,Geelong Cricket Ground,-38.14711,144.36069,1,138,14,2,9,3
107,1152540,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
108,1152541,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
109,1152542,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
110,1152543,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
111,1152544,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
112,1152545,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
113,1152546,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
114,1152547,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
115,1152548,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
116,1152549,3466,"Ted Summerton Reserve, Moe",-38.1825088,146.257197,2,270,25,10,13,0
117,1152550,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
118,1152551,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
119,1152552,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
120,1152553,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
121,1152554,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
122,1152555,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
123,1152556,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
124,1152557,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
125,1152558,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
126,1152559,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
127,1152560,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
128,1152561,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
129,1152562,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
130,1152563,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
131,1152564,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
132,1152565,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
133,1152566,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
134,1152567,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
135,1152568,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
136,1152569,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
137,1195573,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
138,1195574,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
139,1195575,564,"Simonds Stadium, South Geelong, Victoria",-38.157318,144.3535,18,2222,225,42,150,19
140,1195576,1301,"Traeger Park, Alice Springs",-23.709005,133.875046,2,215,32,7,19,3
141,1195577,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
142,1195578,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
143,1195579,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
144,1195580,3466,"Ted Summerton Reserve, Moe",-38.1825088,146.257197,2,270,25,10,13,0
145,1195581,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
146,1195582,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
147,1195583,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
148,1195584,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
149,1195585,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
150,1195586,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
151,1195587,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
152,1195588,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
153,1195589,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
154,1195590,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
155,1195591,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
156,1195592,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
157,1195593,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
158,1195594,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
159,1195595,1599,"International Sports Stadium, Coffs Harbour",-30.323004,153.095718,4,607,44,10,30,1
160,1195596,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
161,1195597,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
162,1195598,564,"Simonds Stadium, South Geelong, Victoria",-38.157318,144.3535,18,2222,225,42,150,19
163,1195599,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
164,1195600,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
165,1195601,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
166,1195602,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
167,1195603,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
168,1195604,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
169,1195605,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
170,1195606,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
171,1195607,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
172,1195608,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
173,1195609,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
174,1195610,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
175,1195611,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
176,1195612,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
177,1195613,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
178,1195614,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
179,1195615,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
180,1195616,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
181,1195617,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
182,1195618,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
183,1195619,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
184,1195620,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
185,1195621,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
186,1195622,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
187,1195623,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
188,1195624,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
189,1195625,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
190,1195626,2967,Sydney Showground Stadium,-33.843254,151.06749,37,4826,441,80,285,34
191,1195627,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
192,1195628,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
193,1195629,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
194,1195630,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
195,1195631,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
196,1195632,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
197,1195633,132,Sydney Cricket Ground,-33.891434,151.223465,83,11551,1025,179,667,60
198,1226826,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
199,1226827,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
200,1226828,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
201,1226829,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
202,1226830,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
203,1226831,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
204,1226832,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
205,1226833,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
206,1226834,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
207,1226835,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
208,1226836,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
209,1226837,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
210,1226838,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
211,1226839,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
212,1226840,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
213,1226841,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
214,1226842,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
215,1226843,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
216,1226844,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
217,1226845,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
218,1226846,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
219,1226847,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
220,1226848,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
221,1226849,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
222,1226850,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
223,1226851,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
224,1226852,905,"Bellerive Oval, Hobart",-42.877167,147.373779,79,11709,974,167,662,56
225,1226853,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
226,1226854,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
227,1226855,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
228,1226856,950,Carrara Oval,-28.005657,153.367126,20,2818,269,39,186,19
229,1226857,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
230,1226858,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
231,1226859,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
232,1226860,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
233,1226861,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
234,1226862,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
235,1226863,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
236,1226864,61,Melbourne Cricket Ground,-37.819775,144.98349,89,12573,1109,172,721,56
237,1226865,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
238,1226866,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
239,1226867,3009,"Aurora Stadium, Launceston",-41.43876,147.13467,11,1383,139,19,96,14
240,1226868,209,"Brisbane Cricket Ground, Woolloongabba, Brisbane",-27.485596,153.038071,71,10608,908,129,636,40
241,1226869,1177,"Docklands Stadium, Melbourne",-37.816391,144.94751,69,10067,853,151,556,52
242,1226870,131,Adelaide Oval,-34.915386,138.596039,90,13595,1085,211,719,76
243,1226871,3404,Perth Stadium,-31.9457271,115.8699183,48,7033,611,85,429,28
244,1226872,757,"Manuka Oval, Canberra",-35.317909,149.134583,32,4620,379,79,242,26
