match_id,season,match_name,venue,home_team,away_team
1304102,2022,MI v KKR,"Dr DY Patil Sports Academy, Navi Mumbai",MI,KKR
1304103,2022,LSG v GT,"Maharashtra Cricket Association Stadium, Pune",LSG,GT
1304104,2022,RR v DC,"Dr DY Patil Sports Academy, Navi Mumbai",RR,DC
1304105,2022,CSK v MI,"Wankhede Stadium, Mumbai",CSK,MI
1304106,2022,RCB v PBKS,"Brabourne Stadium, Mumbai",RCB,PBKS
1304107,2022,KKR v SRH,"Maharashtra Cricket Association Stadium, Pune",KKR,SRH
1304108,2022,CSK v GT,"Wankhede Stadium, Mumbai",CSK,GT
1304109,2022,LSG v RR,"Brabourne Stadium, Mumbai",LSG,RR
1304110,2022,PBKS v DC,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,DC
1304111,2022,MI v SRH,"Wankhede Stadium, Mumbai",MI,SRH
1304112,2022,KKR v LSG,"Dr DY Patil Sports Academy, Navi Mumbai",KKR,LSG
1304113,2022,RCB v GT,"Wankhede Stadium, Mumbai",RCB,GT
1304114,2022,RR v CSK,"Brabourne Stadium, Mumbai",RR,CSK
1304115,2022,MI v DC,"Wankhede Stadium, Mumbai",MI,DC
1304116,2022,SRH v PBKS,"Wankhede Stadium, Mumbai",SRH,PBKS
1312197,2022,GT v RR,"Eden Gardens, Kolkata",GT,RR
1312198,2022,LSG v RCB,"Eden Gardens, Kolkata",LSG,RCB
1312199,2022,RR v RCB,"Narendra Modi Stadium, Motera, Ahmedabad",RR,RCB
1312200,2022,GT v RR,"Narendra Modi Stadium, Motera, Ahmedabad",GT,RR
1254117,2021,CSK v KKR,Dubai International Cricket Stadium,CSK,KKR
1254116,2021,DC v KKR,Sharjah Cricket Stadium,DC,KKR
1254115,2021,RCB v KKR,Sharjah Cricket Stadium,RCB,KKR
1254114,2021,DC v CSK,Dubai International Cricket Stadium,DC,CSK
1254101,2021,RCB v DC,Dubai International Cricket Stadium,RCB,DC
1254088,2021,SRH v MI,"Sheikh Zayed Stadium, Abu Dhabi",SRH,MI
1254106,2021,KKR v RR,Sharjah Cricket Stadium,KKR,RR
1254094,2021,CSK v PBKS,Dubai International Cricket Stadium,CSK,PBKS
1254095,2021,RCB v SRH,"Sheikh Zayed Stadium, Abu Dhabi",RCB,SRH
1254093,2021,RR v MI,Sharjah Cricket Stadium,RR,MI
1254110,2021,DC v CSK,Dubai International Cricket Stadium,DC,CSK
1254109,2021,KKR v SRH,Dubai International Cricket Stadium,KKR,SRH
1254090,2021,RCB v PBKS,Sharjah Cricket Stadium,RCB,PBKS
1254089,2021,RR v CSK,"Sheikh Zayed Stadium, Abu Dhabi",RR,CSK
1254112,2021,MI v DC,Sharjah Cricket Stadium,MI,DC
1254102,2021,KKR v PBKS,Dubai International Cricket Stadium,KKR,PBKS
1254091,2021,SRH v CSK,Sharjah Cricket Stadium,SRH,CSK
1254103,2021,RR v RCB,Dubai International Cricket Stadium,RR,RCB
1254099,2021,MI v PBKS,"Sheikh Zayed Stadium, Abu Dhabi",MI,PBKS
1254092,2021,KKR v DC,Sharjah Cricket Stadium,KKR,DC
1254100,2021,SRH v RR,Dubai International Cricket Stadium,SRH,RR
1254108,2021,RCB v MI,Dubai International Cricket Stadium,RCB,MI
1254098,2021,CSK v KKR,"Sheikh Zayed Stadium, Abu Dhabi",CSK,KKR
1254107,2021,SRH v PBKS,Sharjah Cricket Stadium,SRH,PBKS
1254097,2021,DC v RR,"Sheikh Zayed Stadium, Abu Dhabi",DC,RR
1254113,2021,RCB v CSK,Sharjah Cricket Stadium,RCB,CSK
1254096,2021,MI v KKR,"Sheikh Zayed Stadium, Abu Dhabi",MI,KKR
1254105,2021,DC v SRH,Dubai International Cricket Stadium,DC,SRH
1254111,2021,PBKS v RR,Dubai International Cricket Stadium,PBKS,RR
1254087,2021,KKR v RCB,"Sheikh Zayed Stadium, Abu Dhabi",KKR,RCB
1254104,2021,CSK v MI,Dubai International Cricket Stadium,CSK,MI
1254086,2021,PBKS v DC,"Narendra Modi Stadium, Motera, Ahmedabad",PBKS,DC
1254085,2021,RR v SRH,"Arun Jaitley Stadium, Delhi",RR,SRH
1254084,2021,MI v CSK,"Arun Jaitley Stadium, Delhi",MI,CSK
1254083,2021,PBKS v RCB,"Narendra Modi Stadium, Motera, Ahmedabad",PBKS,RCB
1254082,2021,DC v KKR,"Narendra Modi Stadium, Motera, Ahmedabad",DC,KKR
1254081,2021,MI v RR,"Arun Jaitley Stadium, Delhi",MI,RR
1254080,2021,CSK v SRH,"Arun Jaitley Stadium, Delhi",CSK,SRH
1254079,2021,DC v RCB,"Narendra Modi Stadium, Motera, Ahmedabad",DC,RCB
1254078,2021,PBKS v KKR,"Narendra Modi Stadium, Motera, Ahmedabad",PBKS,KKR
1254077,2021,SRH v DC,"MA Chidambaram Stadium, Chepauk, Chennai",SRH,DC
1254076,2021,CSK v RCB,"Wankhede Stadium, Mumbai",CSK,RCB
1254075,2021,RR v KKR,"Wankhede Stadium, Mumbai",RR,KKR
1254074,2021,PBKS v MI,"MA Chidambaram Stadium, Chepauk, Chennai",PBKS,MI
1254073,2021,RCB v RR,"Wankhede Stadium, Mumbai",RCB,RR
1254072,2021,KKR v CSK,"Wankhede Stadium, Mumbai",KKR,CSK
1254071,2021,PBKS v SRH,"MA Chidambaram Stadium, Chepauk, Chennai",PBKS,SRH
1254070,2021,DC v MI,"MA Chidambaram Stadium, Chepauk, Chennai",DC,MI
1254069,2021,CSK v RR,"Wankhede Stadium, Mumbai",CSK,RR
1254068,2021,DC v PBKS,"Wankhede Stadium, Mumbai",DC,PBKS
1254067,2021,RCB v KKR,"MA Chidambaram Stadium, Chepauk, Chennai",RCB,KKR
1254066,2021,MI v SRH,"MA Chidambaram Stadium, Chepauk, Chennai",MI,SRH
1254065,2021,PBKS v CSK,"Wankhede Stadium, Mumbai",PBKS,CSK
1254064,2021,RR v DC,"Wankhede Stadium, Mumbai",RR,DC
1254063,2021,SRH v RCB,"MA Chidambaram Stadium, Chepauk, Chennai",SRH,RCB
1254062,2021,KKR v MI,"MA Chidambaram Stadium, Chepauk, Chennai",KKR,MI
1254061,2021,RR v PBKS,"Wankhede Stadium, Mumbai",RR,PBKS
1254060,2021,SRH v KKR,"MA Chidambaram Stadium, Chepauk, Chennai",SRH,KKR
1254059,2021,CSK v DC,"Wankhede Stadium, Mumbai",CSK,DC
1254058,2021,MI v RCB,"MA Chidambaram Stadium, Chepauk, Chennai",MI,RCB
1216492,2020,MI v CSK,"Sheikh Zayed Stadium, Abu Dhabi",MI,CSK
1216493,2020,DC v PBKS,Dubai International Cricket Stadium,DC,PBKS
1216534,2020,SRH v RCB,Dubai International Cricket Stadium,SRH,RCB
