season,match_id,match_name,home_team,away_team,venue,batting_team,bowling_innings,bowling_team,fullName,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Fielding_FP
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Abhishek Sharma,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Aiden Markram,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Heinrich Klaasen,8,0,0,6,14
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Marco Jansen,16,0,0,0,16
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,Rahul Tripathi,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,SRH,T Natarajan,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Dasun Shanaka,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,David Miller,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Hardik Pandya,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Rahul Tewatia,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Rashid Khan,16,0,0,0,16
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Sai Sudharsan,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,Wriddhiman Saha,8,0,0,0,8
2023,1359536,GT v SRH,GT,SRH,"Narendra Modi Stadium, Motera, Ahmedabad",SRH,2,GT,substitute_catch,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,KKR,Anukul Roy,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,KKR,Mandeep Singh,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,KKR,Vaibhav Arora,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,1,KKR,Varun Chakravarthy,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",KKR,2,CSK,Matheesha Pathirana,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",KKR,2,CSK,Ravindra Jadeja,8,0,0,0,8
2023,1359535,CSK v KKR,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",KKR,2,CSK,Tushar Deshpande,8,0,0,0,8
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RCB,1,RR,Dhruv Jurel,8,0,0,0,8
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RCB,1,RR,Yashasvi Jaiswal,16,0,0,0,16
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,2,RCB,Anuj Rawat,8,0,0,6,14
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,2,RCB,Mahipal Lomror,8,0,0,0,8
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,2,RCB,Michael Bracewell,8,0,0,0,8
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,2,RCB,Mohammed Siraj,16,0,0,6,22
2023,1359534,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,2,RCB,Virat Kohli,16,0,0,0,16
2023,1359533,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",PBKS,1,DC,Aman Hakim Khan,8,0,0,0,8
2023,1359533,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",PBKS,1,DC,Mitchell Marsh,8,0,0,0,8
2023,1359533,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",PBKS,1,DC,Rilee Rossouw,8,0,0,0,8
2023,1359533,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",DC,2,PBKS,Harpreet Brar,8,0,0,0,8
2023,1359533,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",DC,2,PBKS,Sikandar Raza,8,0,0,0,8
2023,1359532,SRH v LSG,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,1,LSG,Prerak Mankad,8,0,0,0,8
2023,1359532,SRH v LSG,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,1,LSG,Quinton de Kock,16,12,0,0,28
2023,1359532,SRH v LSG,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",LSG,2,SRH,Abdul Samad,8,0,0,0,8
2023,1359532,SRH v LSG,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",LSG,2,SRH,Abhishek Sharma,8,0,0,0,8
2023,1359532,SRH v LSG,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",LSG,2,SRH,Aiden Markram,8,0,0,0,8
2023,1359531,MI v GT,MI,GT,"Wankhede Stadium, Mumbai",MI,1,GT,Abhinav Manohar,8,0,0,0,8
2023,1359531,MI v GT,MI,GT,"Wankhede Stadium, Mumbai",MI,1,GT,Rahul Tewatia,8,0,0,0,8
2023,1359531,MI v GT,MI,GT,"Wankhede Stadium, Mumbai",GT,2,MI,Cameron Green,8,0,0,0,8
2023,1359531,MI v GT,MI,GT,"Wankhede Stadium, Mumbai",GT,2,MI,Ishan Kishan,8,0,0,0,8
2023,1359530,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",KKR,1,RR,Joe Root,16,0,0,0,16
2023,1359530,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",KKR,1,RR,Ravichandran Ashwin,8,0,0,0,8
