season,match_id,match_name,home_team,away_team,batting_team,bowling_team,venue,bowling_innings,fullName,overs,total_balls,dots,maidens,conceded,foursConceded,sixesConceded,wickets,economyRate,wides,noballs,LBW,Hitwicket,CaughtBowled,Bowled,Overs_Bowled,Bowling_FP
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Arshad Khan,2.2,14,7,0,28,2,2,1,12.0,4,0,0,0,0,0,"[2, 15, 17]",21
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Jofra Archer,4.0,24,10,0,33,2,2,0,8.25,0,0,0,0,0,0,"[4, 6, 12, 14]",0
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Piyush Chawla,4.0,24,11,0,26,2,1,0,6.5,0,0,0,0,0,0,"[5, 7, 9, 11]",2
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Cameron Green,2.0,12,4,0,30,2,3,1,15.0,0,0,0,0,0,0,"[8, 16]",19
2023,1359479,RCB v MI,RCB,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",2,Hrithik Shokeen,1.0,6,0,0,17,0,2,0,17.0,0,0,0,0,0,0,[10],0
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Kyle Mayers,2.0,12,1,0,16,1,0,0,8.0,1,0,0,0,0,0,"[1, 3]",0
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Avesh Khan,3.0,18,4,0,39,6,0,1,13.0,1,0,0,0,0,0,"[2, 15, 17]",19
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Krunal Pandya,2.0,12,4,0,21,1,2,0,10.5,0,0,0,0,0,0,"[4, 8]",-2
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Krishnappa Gowtham,1.0,6,2,0,20,0,3,0,20.0,0,0,0,0,0,0,[5],0
2023,1359480,CSK v LSG,CSK,LSG,CSK,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",1,Mark Wood,4.0,24,9,0,49,3,5,3,12.25,0,0,0,0,0,0,"[6, 11, 18, 20]",73
