season,match_id,match_name,home_team,away_team,venue,batting_innings,bowling_innings,fullName,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,Dream Team,Captain,Vice Captain
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Mohammed Shami,4,6,60,0,70,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Shubman Gill,4,52,0,8,64,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Mohit Sharma,4,0,50,0,54,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Noor Ahmad,4,8,33,0,45,1,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Dasun Shanaka,4,20,0,8,32,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Darshan Nalkande,4,0,23,0,27,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Vijay Shankar,4,18,0,0,22,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Hardik Pandya,4,9,0,8,21,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Wriddhiman Saha,4,14,0,0,18,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,David Miller,4,4,0,8,16,0,0,0
2023,1370350,CSK v GT,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",2,1,Rahul Tewatia,4,3,0,0,7,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Virat Kohli,4,136,0,8,148,1,0,1
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Mohammed Siraj,4,0,50,0,54,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Michael Bracewell,4,35,0,0,39,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Faf du Plessis,4,35,0,0,39,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Anuj Rawat,4,30,0,0,34,1,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Harshal Patel,4,0,25,0,29,0,0,0
2023,1359544,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",1,2,Vijaykumar Vyshak,4,0,23,0,27,0,0,0
