match_id,match_number,team1,team2,toss_winner,toss_decision,winner,venue_id,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1152536,26.0,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,209,71,10608,908,129,636,40,0.0,23.736,83.22957,20.675999,0.0,16.628391
1152537,27.0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,32.59,18.854649,5.7599998,0.0,20.83208
1152538,28.0,Sydney Thunder,Adelaide Strikers,Sydney Thunder,bat,Sydney Thunder,2967,37,4826,441,80,285,34,0.0,24.7255,69.34967,18.6955,0.0,23.210125
1152539,29.0,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Brisbane Heat,1344,1,138,14,2,9,3,0.0,22.247002,64.39453,15.106999,0.0,27.625011
1152540,30.0,Perth Scorchers,Sydney Sixers,Perth Scorchers,field,Perth Scorchers,3404,48,7033,611,85,429,28,0.0,21.980999,70.982994,16.470999,0.0,34.77515
1152541,31.0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Hobart Hurricanes,61,89,12573,1109,172,721,56,0.0,24.507,67.65825,17.927,0.0,19.4331
1152542,32.0,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades,132,83,11551,1025,179,667,60,0.0,24.626999,81.66093,21.217,0.0,20.498064
1152543,33.0,Brisbane Heat,Sydney Thunder,Sydney Thunder,bat,,209,71,10608,908,129,636,40,0.0,24.216,66.9956,17.536,0.0,21.48071
1152544,34.0,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,3404,48,7033,611,85,429,28,0.0,23.501001,56.6287,14.031001,0.0,28.187372
1152545,35.0,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,1177,69,10067,853,151,556,52,0.0,18.565,60.65281,10.725,0.0,25.681263
1152546,36.0,Sydney Sixers,Brisbane Heat,Brisbane Heat,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,23.367,79.86783,19.676998,0.0,18.600096
1152547,37.0,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes,131,90,13595,1085,211,719,76,0.0,28.289999,44.510727,14.74,0.0,18.62846
1152548,38.0,Sydney Thunder,Melbourne Renegades,Sydney Thunder,field,Melbourne Renegades,2967,37,4826,441,80,285,34,0.0,25.7155,77.6588,21.4355,0.0,22.872992
1152549,39.0,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,field,Melbourne Stars,3466,2,270,25,10,13,0,0.0,28.188,43.129494,14.328,0.0,15.791295
1152550,40.0,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,22.766998,74.38043,17.967,0.0,38.772438
1152551,41.0,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,3404,48,7033,611,85,429,28,0.0,16.611002,66.97051,10.441,0.0,30.471043
1152552,42.0,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Melbourne Stars,61,89,12573,1109,172,721,56,0.0,20.667,62.663715,13.157,0.0,26.702808
