venue_id,venue_lat,venue_long,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
487,24.896053,67.081383,"National Stadium, Karachi",11,1777,131,30,75,8
974,53.448883,-6.160244,"The Village, Malahide, Dublin",22,2924,301,60,168,18
10,51.529827,-0.172188,"Lord's, London",55,7961,700,140,446,45
1936,51.9673947,4.4800544,"Hazelaarweg, Rotterdam",8,1034,118,32,65,4
1123,52.255,6.16389,"Sportpark Het Schootsveld, Deventer",10,1272,119,27,62,11
1122,52.30083,4.86389,"VRA Ground, Amstelveen",10,1163,114,37,52,9
931,-33.006779,27.919361,"Buffalo Park, East London",22,2739,230,56,138,16
950,-28.005657,153.367126,Carrara Oval,20,2818,269,39,186,19
209,-27.485596,153.038071,"Brisbane Cricket Ground, Woolloongabba, Brisbane",71,10608,908,129,636,40
576,17.298466,-62.722027,"Warner Park, Basseterre, St Kitts",97,13650,1186,187,821,69
292,22.564608,88.343315,"Eden Gardens, Kolkata",128,19206,1544,259,974,104
3355,26.8112572,81.0167842,"Ekana International Cricket Stadium, Lucknow",24,3376,291,41,176,23
291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",88,13115,1075,152,700,55
1697,14.070733,-60.931835,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",68,9463,805,127,536,42
2837,24.46667,54.36667,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi",8,969,108,29,45,4
1896,17.797489,83.351913,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",42,6009,526,81,344,27
2569,25.036665,55.227661,"ICC Global Cricket Academy, Dubai",47,5941,621,107,396,54
3389,23.52417,58.4975,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),92,12431,1183,230,704,111
2623,-9.4733843,147.2016264,"Amini Park, Port Moresby",17,1747,201,35,130,8
1125,52.09083,5.12222,"Sportpark Maarschalkerweerd, Utrecht",9,1007,100,36,50,7
757,-35.317909,149.134583,"Manuka Oval, Canberra",32,4620,379,79,242,26
3404,-31.9457271,115.8699183,Perth Stadium,48,7033,611,85,429,28
1694,0.31628,32.58219,"Kyambogo Cricket Oval, Kampala",6,602,68,21,31,7
601,0.31628,32.58219,"Lugogo Cricket Oval, Kampala",3,348,45,11,26,3
2389,39.23054,9.11917,"King George V Sports Ground, Castel",22,2608,285,66,162,22
2388,49.4520466,-2.5546551,"College Field, St Peter Port",6,707,77,22,44,3
302,-29.850071,31.027794,"Kingsmead, Durban",75,9994,980,153,636,66
173,-33.966995,25.609888,"St George's Park, Port Elizabeth",64,8633,783,181,428,60
2072,3.1412,101.68653,"Kinrara Academy Oval, Kuala Lumpur",18,2378,217,52,123,17
1015,30.691059,76.737442,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",74,11562,847,151,519,56
1981,17.406828,78.550468,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",80,12149,932,148,598,63
93,-43.53418,172.619293,"Hagley Oval, Christchurch",11,1608,127,14,97,6
1986,6.757869,-58.17807,"Providence Stadium, Guyana",70,8956,848,190,452,103
2474,1.3172177,103.8554165,"Indian Association Ground, Singapore",19,2623,238,43,160,12
2536,52.07667,4.29861,"Sportpark Westvliet, The Hague",16,2071,215,54,120,21
2503,7.280079,80.722115,Pallekele International Cricket Stadium,26,3889,328,81,173,33
1931,22.355932,91.767563,"Zahur Ahmed Chowdhury Stadium, Chattogram",123,18165,1599,303,940,105
3494,43.25011,-79.84963,"White Hill Field, Sandys Parish",13,1491,173,49,93,12
674,31.70377,-98.12392,"National Stadium, Hamilton",11,1128,154,25,89,13
1696,-22.75,17.08333,"United Cricket Club Ground, Windhoek",19,2381,217,35,138,17
2593,25.0657,55.17128,"ICC Academy Ground No 2, Dubai",14,1872,173,34,98,12
2714,24.46667,54.36667,"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",18,2052,235,51,125,12
2697,37.98704,-1.13004,La Manga Club Bottom Ground,10,828,99,34,50,7
2677,18.673712,73.706413,"Maharashtra Cricket Association Stadium, Pune",56,8186,702,108,439,45
1131,12.059683,-61.752132,"National Cricket Stadium, St George's, Grenada",10,1566,127,16,98,8
3516,37.2526943,-1.8231444,"Desert Springs Cricket Ground, Almeria",29,3177,396,81,199,29
1939,27.67988,85.27544,"Tribhuvan University International Cricket Ground, Kirtipur",34,4946,434,80,265,38
3463,23.52417,58.4975,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),23,3000,314,58,170,41
