name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
"MA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, ChennaiMA Chidambaram Stadium, Chepauk, Chennai",28,8360,354,49,242,24
"Wankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, MumbaiWankhede Stadium, Mumbai",45,14744,522,87,347,41
"Narendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, AhmedabadNarendra Modi Stadium, Ahmedabad",24,7750,286,44,198,11
"Arun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, DelhiArun Jaitley Stadium, Delhi",16,5808,196,34,128,16
"Zayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu DhabiZayed Cricket Stadium, Abu Dhabi",8,2372,97,16,60,7
"Brabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, MumbaiBrabourne Stadium, Mumbai",17,5497,216,36,139,14
"Dr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, MumbaiDr DY Patil Sports Academy, Mumbai",20,6199,257,27,195,12
"Maharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, PuneMaharashtra Cricket Association Stadium, Pune",13,3913,178,19,124,12
"Eden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, KolkataEden Gardens, Kolkata",16,5739,193,24,144,11
"Punjab Cricket Association IS Bindra Stadium, Mohali, ChandigarhPunjab Cricket Association IS Bindra Stadium, Mohali, ChandigarhPunjab Cricket Association IS Bindra Stadium, Mohali, ChandigarhPunjab Cricket Association IS Bindra Stadium, Mohali, ChandigarhPunjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1758,62,10,39,4
