,Credits,Player Type,Player Name,Team,identifier
147,6.0,BOWL,Kuldeep Sen,PBKS,2e78f685
148,8.0,ALL,Marco Jansen,PBKS,81c36ee9
149,7.5,BAT,Nehal Wadhera,PBKS,d1a60072
150,7.5,WK,Prabhsimran Singh,PBKS,9418198b
151,7.0,ALL,Aaron Hardie,PBKS,d405c0d5
152,8.5,BOWL,Arshdeep Singh,PBKS,244048f6
153,7.5,ALL,Azmatullah Omarzai,PBKS,8f6dd463
154,6.5,WK,Vishnu Vinod,PBKS,0494fa6e
155,6.5,BOWL,Xavier Bartlett,PBKS,3b53243a
156,7.5,BAT,Shashank Singh,PBKS,26989d80
157,7.5,BOWL,Lockie Ferguson,PBKS,2f9d0389
158,7.5,WK,Josh Inglis,PBKS,989889ff
159,7.0,BOWL,Vyshak Vijaykumar,PBKS,54e52590
160,6.0,BOWL,Pravin Dubey,PBKS,ed5a5510
161,6.5,BOWL,Yash Thakur,PBKS,4b31f3a3
162,8.5,BAT,Shreyas Iyer,PBKS,85ec8e33
163,8.0,ALL,Marcus Stoinis,PBKS,d9273ee7
164,8.5,BOWL,Yuzvendra Chahal,PBKS,57ee1fde
165,8.5,ALL,Glenn Maxwell,PBKS,b681e71e
168,6.0,ALL,Mohit Rathee,RCB,9a5f2863
169,6.0,BOWL,Suyash Sharma,RCB,9440ef41
170,7.0,BAT,Jacob Bethell,RCB,3c55c703
171,6.5,BOWL,Rasikh Salam,RCB,b8527c3d
172,7.0,BOWL,Yash Dayal,RCB,7210d461
173,6.5,ALL,Manoj Bhandage,RCB,e96801ea
174,7.5,BOWL,Nuwan Thushara,RCB,ee1b6c27
175,7.0,ALL,Romario Shepherd,RCB,c5aef772
176,7.5,BAT,Tim David,RCB,f1f99156
177,7.0,BAT,Devdutt Padikkal,RCB,2c25d4f5
178,7.5,ALL,Krunal Pandya,RCB,5b8c830e
179,8.0,BAT,Rajat Patidar,RCB,c740ea83
180,7.5,WK,Jitesh Sharma,RCB,800d2d97
181,7.5,BOWL,Lungi Ngidi,RCB,f834dcfc
182,8.5,WK,Philip Salt,RCB,3d284ca3
183,8.0,ALL,Liam Livingstone,RCB,50c6bc2b
184,8.5,BOWL,Josh Hazlewood,RCB,03806cf8
185,8.0,BOWL,Bhuvneshwar Kumar,RCB,2e81a32d
186,7.0,ALL,Swapnil Singh,RCB,983f2f61
187,9.0,BAT,Virat Kohli,RCB,ba607b88
190,6.0,BOWL,Kwena Maphaka,RR,107c26fb
191,5.0,WK,Kunal Singh Rathore,RR,e3851766
192,7.0,BOWL,Akash Madhwal,RR,4bd09374
193,5.5,BAT,Shubham Dubey,RR,6b2ff18f
194,6.5,ALL,Yudhvir Singh Charak,RR,4885bbe6
195,7.5,BOWL,Maheesh Theekshana,RR,f24c6701
196,7.5,WK,Dhruv Jurel,RR,bcf325d2
197,6.0,BOWL,Kumar Kartikeya,RR,f6d8a7ab
198,9.0,BAT,Yashasvi Jaiswal,RR,6c19c6e5
199,7.0,BOWL,FazalHaq Farooqi,RR,e9c7f0d0
200,8.0,ALL,Riyan Parag,RR,04a418e8
201,7.5,BOWL,Tushar Deshpande,RR,46a9bea1
202,8.0,BOWL,Jofra Archer,RR,5574750c
203,8.5,ALL,Wanindu Hasaranga,RR,a97c8ec2
204,7.5,ALL,Nitish Rana,RR,fb2d1dda
205,7.5,BAT,Shimron Hetmyer,RR,48a1d7b7
206,7.5,BOWL,Sandeep Sharma,RR,ce820073
207,9.0,WK,Sanju Samson,RR,a4cc73aa
208,5.0,BAT,Aniket Verma,SRH,a3b0600d
209,6.0,BOWL,Eshan Malinga,SRH,5750bcb4
210,8.0,ALL,K Nitish Reddy,SRH,aad0c365
211,6.5,BAT,Abhinav Manohar,SRH,0890552f
212,6.5,BAT,Atharva Taide,SRH,1ac746c8
213,6.0,BOWL,Simarjeet- Singh,SRH,30df8c66
214,6.5,BOWL,Rahul Chahar,SRH,2ed569a0
215,8.5,ALL,Abhishek Sharma,SRH,f29185a1
216,7.0,BAT,Kamindu Mendis,SRH,08548b13
217,7.0,ALL,Wiaan Mulder,SRH,c96f6ac5
218,5.5,BOWL,Zeeshan Ansari,SRH,36619795
219,8.0,WK,Ishan Kishan,SRH,752f7486
220,9.0,WK,Heinrich Klaasen,SRH,235c2bb6
221,6.5,BAT,Sachin Baby,SRH,dc9dd038
222,9.0,BAT,Travis Head,SRH,12b610c2
223,7.5,BOWL,Adam Zampa,SRH,14f96089
224,8.0,BOWL,Harshal Patel,SRH,f986ca1a
225,8.5,BOWL,Pat Cummins,SRH,ded9240e
226,8.5,BOWL,Mohammed Shami,SRH,8cf9814c
227,7.0,BOWL,Jaydev Unadkat,SRH,1e66c162
